date,equity,holdings
2024-01-02,997400.0,6
2024-01-03,1001325.3328,6
2024-01-04,1002340.6077,6
2024-01-05,1008593.0501,6
2024-01-08,1012477.5328,6
2024-01-09,1015116.8062,6
2024-01-10,1024624.9991,6
2024-01-11,1023797.4969,6
2024-01-12,1026677.3418,6
2024-01-15,1028488.8149,6
2024-01-16,1034754.7854,6
2024-01-17,1038521.4748,6
2024-01-18,1041561.1676,6
2024-01-19,1045097.5571,6
2024-01-22,1047063.1829,6
2024-01-23,1050556.6444,6
2024-01-24,1054730.1543,6
2024-01-25,1061948.2353,6
2024-01-26,1064047.7831,6
2024-01-29,1064167.6219,6
2024-01-30,1067185.6692,6
2024-01-31,1070261.4127,6
2024-02-01,1074492.4162,6
2024-02-02,1077879.1742,6
2024-02-05,1080859.8831,6
2024-02-06,1090730.0645,6
2024-02-07,1093285.5934,6
2024-02-08,1094386.6485,6
2024-02-09,1094984.1782,6
2024-02-12,1094543.9074,6
2024-02-13,1094000.9858,6
2024-02-14,1093862.3361,6
2024-02-15,1095134.4843,6
2024-02-16,1099555.0304,6
2024-02-19,1100642.2551,6
2024-02-20,1110841.6374,6
2024-02-21,1111911.2265,6
2024-02-22,1117491.3365,6
2024-02-23,1122172.9657,6
2024-02-26,1129887.9275,6
2024-02-27,1139083.1004,6
2024-02-28,1137980.3974,6
2024-02-29,1141751.9869,6
2024-03-01,1140270.1655,6
2024-03-04,1147974.0918,6
2024-03-05,1150103.6399,6
2024-03-06,1155172.0635,6
2024-03-07,1156813.5202,6
2024-03-08,1158591.1412,6
2024-03-11,1157943.6887,6
2024-03-12,1161116.75,6
2024-03-13,1166244.7264,6
2024-03-14,1169055.0469,6
2024-03-15,1176610.1012,6
2024-03-18,1181420.4708,6
2024-03-19,1184074.7967,6
2024-03-20,1190702.8284,6
2024-03-21,1195514.3484,6
2024-03-22,1196385.6964,6
2024-03-25,1197512.8894,6
2024-03-26,1202107.5024,6
2024-03-27,1207459.298,6
2024-03-28,1211934.583,6
2024-03-29,1214204.5297,6
2024-04-01,1218997.8563,6
2024-04-02,1223184.6405,6
2024-04-03,1225899.1083,6
2024-04-04,1227361.2759,6
2024-04-05,1231357.7628,6
2024-04-08,1236901.9307,6
2024-04-09,1245848.3297,6
2024-04-10,1245938.0146,6
2024-04-11,1250887.9224,6
2024-04-12,1254350.3625,6
2024-04-15,1263652.4296,6
2024-04-16,1272787.5513,6
2024-04-17,1282700.8879,6
2024-04-18,1289231.9736,6
2024-04-19,1299247.3194,6
2024-04-22,1299796.7856,6
2024-04-23,1301946.7858,6
2024-04-24,1304162.5238,6
2024-04-25,1305634.3623,6
2024-04-26,1309319.4226,6
2024-04-29,1312059.0133,6
2024-04-30,1315786.3979,6
2024-05-01,1319278.9962,6
2024-05-02,1324390.9611,6
2024-05-03,1328824.4746,6
2024-05-06,1333160.2828,6
2024-05-07,1336637.5372,6
2024-05-08,1340449.2002,6
2024-05-09,1344226.4914,6
2024-05-10,1354191.5599,6
2024-05-13,1357587.2125,6
