date,equity,holdings
2024-01-02,997400.0,4
2024-01-03,997989.2345,4
2024-01-04,997148.9159,4
2024-01-05,998549.8976,4
2024-01-08,997646.9092,4
2024-01-09,997198.359,4
2024-01-10,1002759.6706,4
2024-01-11,998894.5783,4
2024-01-12,995837.1336,4
2024-01-15,996817.518,4
2024-01-16,999118.3501,4
2024-01-17,997854.6811,4
2024-01-18,995600.4989,4
2024-01-19,996843.5756,4
2024-01-22,996679.5174,4
2024-01-23,997862.9257,4
2024-01-24,1001025.6309,4
2024-01-25,1006624.627,4
2024-01-26,1006850.9231,4
2024-01-29,1008568.9289,4
2024-01-30,1008561.4524,4
2024-01-31,1013724.9465,4
2024-02-01,1018222.5027,4
2024-02-02,1023125.2688,4
2024-02-05,1028164.6378,4
2024-02-06,1039930.9374,4
2024-02-07,1048534.027,4
2024-02-08,1053361.5327,4
2024-02-09,1061238.1478,4
2024-02-12,1062983.4757,4
2024-02-13,1067011.7775,4
2024-02-14,1074630.4261,4
2024-02-15,1080995.1447,4
2024-02-16,1089627.6296,4
2024-02-19,1093719.2515,4
2024-02-20,1107499.7865,4
2024-02-21,1109703.2822,4
2024-02-22,1116908.2378,4
2024-02-23,1122791.4336,4
2024-02-26,1127391.7162,5
2024-02-27,1135844.9339,5
2024-02-28,1137484.8278,5
2024-02-29,1141855.9947,5
2024-03-01,1140389.3162,5
2024-03-04,1149087.9249,5
2024-03-05,1149456.9335,5
2024-03-06,1153823.4626,5
2024-03-07,1155230.4326,5
2024-03-08,1155908.9251,5
2024-03-11,1155055.077,5
2024-03-12,1156688.5638,5
2024-03-13,1160042.5247,5
2024-03-14,1161963.4922,5
2024-03-15,1167498.2193,5
2024-03-18,1169706.308,5
2024-03-19,1169405.6255,5
2024-03-20,1174863.8595,5
2024-03-21,1178339.1466,5
2024-03-22,1179595.4464,5
2024-03-25,1180695.3627,5
2024-03-26,1184158.7092,5
2024-03-27,1187951.6955,5
2024-03-28,1190080.2941,5
2024-03-29,1192687.6198,5
2024-04-01,1196944.4437,5
2024-04-02,1200004.0859,5
2024-04-03,1202639.658,5
2024-04-04,1204664.3971,5
2024-04-05,1207938.5078,5
2024-04-08,1212105.626,5
2024-04-09,1219772.2056,5
2024-04-10,1219859.1081,5
2024-04-11,1224857.7033,5
2024-04-12,1227806.5478,5
2024-04-15,1237371.4903,5
2024-04-16,1246224.4055,5
2024-04-17,1255543.6767,5
2024-04-18,1260426.3905,5
2024-04-19,1269685.1796,5
2024-04-22,1269115.7535,5
2024-04-23,1272280.3993,5
2024-04-24,1276833.6752,5
2024-04-25,1278704.8991,5
2024-04-26,1285403.7102,5
2024-04-29,1290345.6281,5
2024-04-30,1293973.5371,5
2024-05-01,1297604.9295,5
2024-05-02,1304445.2003,5
2024-05-03,1308530.5595,5
2024-05-06,1312756.1345,5
2024-05-07,1313056.0319,5
2024-05-08,1318167.1231,5
2024-05-09,1322790.1627,5
2024-05-10,1333211.0521,5
2024-05-13,1334830.4953,5
