date,equity,holdings
2024-01-02,997400.0,6
2024-01-03,1001244.3982,6
2024-01-04,1002238.6591,6
2024-01-05,1008361.5623,6
2024-01-08,1012165.0795,6
2024-01-09,1014749.1372,6
2024-01-10,1024057.9121,6
2024-01-11,1023247.9203,6
2024-01-12,1026066.8729,6
2024-01-15,1027839.9411,6
2024-01-16,1033972.8447,6
2024-01-17,1037659.0827,6
2024-01-18,1040633.6293,6
2024-01-19,1044094.0192,6
2024-01-22,1046017.2681,6
2024-01-23,1049435.2818,6
2024-01-24,1053518.377,6
2024-01-25,1060579.5098,6
2024-01-26,1062633.1176,6
2024-01-29,1062750.3295,6
2024-01-30,1065702.2123,6
2024-01-31,1068710.3511,6
2024-02-01,1072848.1121,6
2024-02-02,1076159.9641,6
2024-02-05,1079074.5589,6
2024-02-06,1088725.2644,6
2024-02-07,1091223.5016,6
2024-02-08,1092299.8206,6
2024-02-09,1092883.9142,6
2024-02-12,1092453.5483,6
2024-02-13,1091922.8365,6
2024-02-14,1091787.3034,6
2024-02-15,1093030.8584,6
2024-02-16,1097351.9429,6
2024-02-19,1098414.6171,6
2024-02-20,1108383.4855,6
2024-02-21,1109428.7031,6
2024-02-22,1114881.5577,6
2024-02-23,1119455.9505,6
2024-02-26,1126993.5465,6
2024-02-27,1135976.059,6
2024-02-28,1134899.038,6
2024-02-29,1138582.8608,6
2024-03-01,1137135.6206,6
2024-03-04,1144659.9621,6
2024-03-05,1146739.5808,6
2024-03-06,1151688.9814,6
2024-03-07,1153291.7463,6
2024-03-08,1155027.4151,6
2024-03-11,1154395.2626,6
2024-03-12,1157493.3769,6
2024-03-13,1162499.9495,6
2024-03-14,1165243.4874,6
2024-03-15,1172618.643,6
2024-03-18,1177313.8478,6
2024-03-19,1179904.409,6
2024-03-20,1186372.9173,6
2024-03-21,1191068.0947,6
2024-03-22,1191918.3029,6
2024-03-25,1193018.1325,6
2024-03-26,1197501.1214,6
2024-03-27,1202722.4859,6
2024-03-28,1207088.3026,6
2024-03-29,1209302.5564,6
2024-04-01,1213978.0989,6
2024-04-02,1218061.6723,6
2024-04-03,1220709.0373,6
2024-04-04,1222134.9943,6
2024-04-05,1226032.4127,6
2024-04-08,1231438.7849,6
2024-04-09,1240162.0224,6
2024-04-10,1240249.4572,6
2024-04-11,1245075.1714,6
2024-04-12,1248450.4631,6
2024-04-15,1257517.8844,6
2024-04-16,1266421.2199,6
2024-04-17,1276081.5949,6
2024-04-18,1282445.0107,6
2024-04-19,1292202.2174,6
2024-04-22,1292737.4364,6
2024-04-23,1294831.6705,6
2024-04-24,1296989.8639,6
2024-04-25,1298423.4272,6
2024-04-26,1302012.5742,6
2024-04-29,1304680.7051,6
2024-04-30,1308310.7077,6
2024-05-01,1311711.8596,6
2024-05-02,1316689.7064,6
2024-05-03,1321006.5582,6
2024-05-06,1325227.9852,6
2024-05-07,1328613.2806,6
2024-05-08,1332323.9418,6
2024-05-09,1336000.9264,6
2024-05-10,1345700.8088,6
2024-05-13,1349005.5963,6
