date,code,weight
2024-03-25,000002.XSHE,0.326667
2024-03-25,000001.XSHE,0.326667
2024-03-25,000006.XSHE,0.326667
2024-03-26,000002.XSHE,0.326667
2024-03-26,000001.XSHE,0.326667
2024-03-26,000006.XSHE,0.326667
2024-03-27,000002.XSHE,0.326667
2024-03-27,000001.XSHE,0.326667
2024-03-27,000006.XSHE,0.326667
2024-03-28,000002.XSHE,0.326667
2024-03-28,000001.XSHE,0.326667
2024-03-28,000006.XSHE,0.326667
2024-03-29,000002.XSHE,0.326667
2024-03-29,000001.XSHE,0.326667
2024-03-29,000006.XSHE,0.326667
2024-04-01,000006.XSHE,0.326667
2024-04-01,000002.XSHE,0.326667
2024-04-01,000001.XSHE,0.326667
2024-04-02,000006.XSHE,0.326667
2024-04-02,000002.XSHE,0.326667
2024-04-02,000001.XSHE,0.326667
2024-04-03,000006.XSHE,0.326667
2024-04-03,000002.XSHE,0.326667
2024-04-03,000001.XSHE,0.326667
2024-04-04,000006.XSHE,0.326667
2024-04-04,000002.XSHE,0.326667
2024-04-04,000001.XSHE,0.326667
2024-04-05,000006.XSHE,0.326667
2024-04-05,000002.XSHE,0.326667
2024-04-05,000001.XSHE,0.326667
2024-04-08,000006.XSHE,0.326667
2024-04-08,000001.XSHE,0.326667
2024-04-08,000004.XSHE,0.326667
2024-04-09,000006.XSHE,0.326667
2024-04-09,000001.XSHE,0.326667
2024-04-09,000004.XSHE,0.326667
2024-04-10,000006.XSHE,0.326667
2024-04-10,000001.XSHE,0.326667
2024-04-10,000004.XSHE,0.326667
2024-04-11,000006.XSHE,0.326667
2024-04-11,000001.XSHE,0.326667
2024-04-11,000004.XSHE,0.326667
2024-04-12,000006.XSHE,0.326667
2024-04-12,000001.XSHE,0.326667
2024-04-12,000004.XSHE,0.326667
2024-04-15,000006.XSHE,0.326667
2024-04-15,000005.XSHE,0.326667
2024-04-15,000004.XSHE,0.326667
2024-04-16,000006.XSHE,0.326667
2024-04-16,000005.XSHE,0.326667
2024-04-16,000004.XSHE,0.326667
2024-04-17,000006.XSHE,0.326667
2024-04-17,000005.XSHE,0.326667
2024-04-17,000004.XSHE,0.326667
2024-04-18,000006.XSHE,0.326667
2024-04-18,000005.XSHE,0.326667
2024-04-18,000004.XSHE,0.326667
2024-04-19,000006.XSHE,0.326667
2024-04-19,000005.XSHE,0.326667
2024-04-19,000004.XSHE,0.326667
2024-04-22,000006.XSHE,0.326667
2024-04-22,000004.XSHE,0.326667
2024-04-22,000005.XSHE,0.326667
2024-04-23,000006.XSHE,0.326667
2024-04-23,000004.XSHE,0.326667
2024-04-23,000005.XSHE,0.326667
2024-04-24,000006.XSHE,0.326667
2024-04-24,000004.XSHE,0.326667
2024-04-24,000005.XSHE,0.326667
2024-04-25,000006.XSHE,0.326667
2024-04-25,000004.XSHE,0.326667
2024-04-25,000005.XSHE,0.326667
2024-04-26,000006.XSHE,0.326667
2024-04-26,000004.XSHE,0.326667
2024-04-26,000005.XSHE,0.326667
2024-04-29,000004.XSHE,0.326667
2024-04-29,000006.XSHE,0.326667
2024-04-29,000005.XSHE,0.326667
2024-04-30,000004.XSHE,0.326667
2024-04-30,000006.XSHE,0.326667
2024-04-30,000005.XSHE,0.326667
2024-05-01,000004.XSHE,0.326667
2024-05-01,000006.XSHE,0.326667
2024-05-01,000005.XSHE,0.326667
2024-05-02,000004.XSHE,0.326667
2024-05-02,000006.XSHE,0.326667
2024-05-02,000005.XSHE,0.326667
2024-05-03,000004.XSHE,0.326667
2024-05-03,000006.XSHE,0.326667
2024-05-03,000005.XSHE,0.326667
2024-05-06,000004.XSHE,0.326667
2024-05-06,000006.XSHE,0.326667
2024-05-06,000003.XSHE,0.326667
2024-05-07,000004.XSHE,0.326667
2024-05-07,000006.XSHE,0.326667
2024-05-07,000003.XSHE,0.326667
2024-05-08,000004.XSHE,0.326667
2024-05-08,000006.XSHE,0.326667
2024-05-08,000003.XSHE,0.326667
2024-05-09,000004.XSHE,0.326667
2024-05-09,000006.XSHE,0.326667
2024-05-09,000003.XSHE,0.326667
2024-05-10,000004.XSHE,0.326667
2024-05-10,000006.XSHE,0.326667
2024-05-10,000003.XSHE,0.326667
2024-05-13,000004.XSHE,0.326667
2024-05-13,000006.XSHE,0.326667
2024-05-13,000002.XSHE,0.326667
