date,equity,holdings
2024-01-02,997400.0,6
2024-01-03,1001042.0614,6
2024-01-04,1001983.8025,6
2024-01-05,1007782.9726,6
2024-01-08,1011384.2371,6
2024-01-09,1013830.4032,6
2024-01-10,1022641.2582,6
2024-01-11,1021874.9591,6
2024-01-12,1024541.9624,6
2024-01-15,1026219.2149,6
2024-01-16,1032020.1725,6
2024-01-17,1035505.8028,6
2024-01-18,1038317.9467,6
2024-01-19,1041588.9158,6
2024-01-22,1043406.5694,6
2024-01-23,1046636.6059,6
2024-01-24,1050494.4854,6
2024-01-25,1057164.7789,6
2024-01-26,1059104.0382,6
2024-01-29,1059214.7123,6
2024-01-30,1062001.9292,6
2024-01-31,1064841.8499,6
2024-02-01,1068747.6445,6
2024-02-02,1071873.1967,6
2024-02-05,1074623.3928,6
2024-02-06,1083728.4527,6
2024-02-07,1086084.3413,6
2024-02-08,1087099.2097,6
2024-02-09,1087649.927,6
2024-02-12,1087244.1645,6
2024-02-13,1086743.7824,6
2024-02-14,1086615.9917,6
2024-02-15,1087788.5162,6
2024-02-16,1091862.5414,6
2024-02-19,1092864.2492,6
2024-02-20,1102260.7181,6
2024-02-21,1103245.4544,6
2024-02-22,1108382.5254,6
2024-02-23,1112690.8984,6
2024-02-26,1119788.6253,6
2024-02-27,1128243.9709,6
2024-02-28,1127230.5801,6
2024-02-29,1130696.9362,6
2024-03-01,1129335.3627,6
2024-03-04,1136414.789,6
2024-03-05,1138370.7626,6
2024-03-06,1143025.4492,6
2024-03-07,1144532.4359,6
2024-03-08,1146164.265,6
2024-03-11,1145569.9793,6
2024-03-12,1148482.5965,6
2024-03-13,1153188.7418,6
2024-03-14,1155767.0647,6
2024-03-15,1162697.2321,6
2024-03-18,1167107.686,6
2024-03-19,1169540.6263,6
2024-03-20,1175614.8604,6
2024-03-21,1180022.5881,6
2024-03-22,1180820.579,6
2024-03-25,1181852.8215,6
2024-03-26,1186060.116,6
2024-03-27,1190959.4122,6
2024-03-28,1195054.9971,6
2024-03-29,1197131.7993,6
2024-04-01,1201516.6813,6
2024-04-02,1205345.6183,6
2024-04-03,1207827.4655,6
2024-04-04,1209164.1167,6
2024-04-05,1212817.2205,6
2024-04-08,1217883.8395,6
2024-04-09,1226056.9927,6
2024-04-10,1226138.8836,6
2024-04-11,1230658.5993,6
2024-04-12,1233819.2189,6
2024-04-15,1242308.7346,6
2024-04-16,1250641.4589,6
2024-04-17,1259679.3589,6
2024-04-18,1265630.3702,6
2024-04-19,1274752.8423,6
2024-04-22,1275253.0449,6
2024-04-23,1277210.2222,6
2024-04-24,1279227.0014,6
2024-04-25,1280566.514,6
2024-04-26,1283919.9958,6
2024-04-29,1286412.5741,6
2024-04-30,1289803.3718,6
2024-05-01,1292979.9353,6
2024-05-02,1297628.4453,6
2024-05-03,1301658.8899,6
2024-05-06,1305599.563,6
2024-05-07,1308759.1831,6
2024-05-08,1312222.0146,6
2024-05-09,1315652.9157,6
2024-05-10,1324702.3191,6
2024-05-13,1327784.3162,6
