序号,代码,名称,市场代码简称,最新价(元) 2026.04.16,涨跌幅(%) 2026.04.16,量比 2026.04.16,RSI1(6日) 2026.04.16,主力净额(元) 2026.04.16,涨跌额(元) 2026.04.16,最高价(元) 2026.04.16,最低价(元) 2026.04.16,换手率(%) 2026.04.16,成交量(股) 2026.04.16,成交额(元) 2026.04.16,市盈率(动)(倍) 2026.04.16,市净率(倍) 2026.04.16,总市值(元) 2026.04.16,流通市值(元) 2026.04.16
1,300231,银信科技,SZ,11.68,8.96,1.88,65.19,2637.55万,0.960,11.76,10.72,11.00,4886.08万,5.55亿,24.62,3.1925,51.89亿,51.89亿
2,688365,光云科技,SH,19.88,7.75,1.62,65.26,2087.76万,1.430,20.17,18.41,5.69,2424.58万,4.70亿,-140.79,8.9632,84.65亿,84.65亿
3,002378,章源钨业,SZ,32.39,7.47,2.41,56.72,2.52亿,2.250,33.08,29.73,9.24,1.10亿,35.03亿,51.17,16.6547,389.14亿,387.10亿
4,300277,汽轮科技,SZ,20.01,7.41,1.64,63.85,1.15亿,1.380,20.33,18.68,7.59,5825.01万,11.50亿,1931.22,2.6447,303.47亿,153.61亿
5,300245,天玑科技,SZ,14.42,7.29,1.75,63.59,4212.00万,0.980,14.42,13.52,13.88,4223.63万,5.97亿,-25.63,3.5386,43.99亿,43.89亿
6,300153,科泰电源,SZ,28.78,7.15,1.74,68.72,5042.13万,1.920,28.91,27.09,8.03,2556.15万,7.20亿,60.31,10.1343,92.10亿,91.62亿
7,603040,新坐标,SH,86.02,6.98,1.88,69.54,4071.76万,5.610,87.18,80.76,2.08,282.94万,2.37亿,14.02,8.2607,117.38亿,116.77亿
8,002842,翔鹭钨业,SZ,33.85,6.85,2.16,58.65,1.83亿,2.170,34.85,30.98,26.28,7056.37万,23.59亿,19.27,9.1750,110.75亿,90.87亿
9,688223,晶科能源,SH,7.14,6.57,1.89,66.54,1.97亿,0.440,7.15,6.66,2.50,2.57亿,17.75亿,-4.68,2.7017,733.24亿,733.24亿
10,002663,普邦股份,SZ,2.30,6.48,1.74,51.43,5092.84万,0.140,2.38,2.18,10.70,1.38亿,3.15亿,-25.38,1.6748,39.64亿,29.74亿
