序号,代码,名称,最新价 2026.04.16,涨跌幅(%) 2026.04.16,涨跌幅(%) 2026.04.15,涨跌幅(%) 2026.04.14,市场码,市场名,指数小类,涨跌额(元) 2026.04.16,最高价(元) 2026.04.16,最低价(元) 2026.04.16,换手率(%) 2026.04.16,量比 2026.04.16,成交量(股) 2026.04.16,成交额 2026.04.16,市盈率(TTM) 2026.04.16,总市值(元) 2026.04.16
1,858812,摩托车(申万),4790.80,4.29,0.67,0.58,62,SWI,申万三级行业,197.07,4839.07,4517.43,0.00,1.30,7386.00万,30.90亿,30.23,1677.59亿
2,801881,摩托车及其他(申万),3671.02,3.80,0.30,0.53,62,SWI,申万二级行业,134.39,3704.42,3483.12,0.00,1.16,1.08亿,37.18亿,27.93,2153.90亿
3,859721,环保设备Ⅲ(申万),2470.84,3.32,1.05,1.60,62,SWI,申万三级行业,79.29,2502.23,2371.84,0.00,0.95,5.15亿,76.92亿,52.32,1852.79亿
4,801972,环保设备Ⅱ(申万),2470.84,3.31,1.05,1.60,62,SWI,申万二级行业,79.28,2502.24,2371.84,0.00,0.95,5.15亿,76.92亿,52.32,1852.79亿
5,852112,自然景区(申万),2561.91,3.26,2.03,0.01,62,SWI,申万三级行业,81.00,2581.30,2453.90,0.00,1.81,3.88亿,45.12亿,46.12,752.28亿
6,801764,游戏Ⅱ(申万),3449.65,3.09,1.09,0.50,62,SWI,申万二级行业,103.33,3477.02,3335.75,0.00,1.21,10.45亿,216.15亿,36.54,5832.67亿
7,857641,游戏Ⅲ(申万),3449.66,3.09,1.09,0.50,62,SWI,申万三级行业,103.33,3477.03,3335.76,0.00,1.21,10.45亿,216.15亿,36.54,5832.67亿
8,851026,通信终端及配件(申万),2425.02,2.80,0.46,0.95,62,SWI,申万三级行业,65.97,2445.18,2343.74,0.00,0.92,4.17亿,163.10亿,69.41,4288.73亿
9,857355,光伏加工设备(申万),2387.26,2.77,1.42,2.07,62,SWI,申万三级行业,64.39,2437.01,2255.20,0.00,1.21,2.36亿,131.77亿,32.97,2929.01亿
10,850523,非金属材料Ⅲ(申万),5643.87,2.53,0.93,0.18,62,SWI,申万三级行业,139.38,5709.48,5455.94,0.00,1.05,8438.00万,35.66亿,51.07,1081.14亿
11,801039,非金属材料Ⅱ(申万),6331.25,2.53,0.93,0.18,62,SWI,申万二级行业,156.35,6404.86,6120.43,0.00,1.05,8437.74万,35.66亿,51.07,1081.14亿
12,801993,旅游及景区(申万),2395.80,2.49,1.20,0.12,62,SWI,申万二级行业,58.11,2412.84,2315.24,0.00,1.74,6.71亿,70.05亿,54.11,1571.59亿
13,852131,旅游综合(申万),15230.78,2.39,0.35,0.56,62,SWI,申万三级行业,355.16,15356.12,14697.14,0.00,1.44,1.70亿,15.42亿,195.44,415.96亿
14,850354,合成树脂(申万),5177.87,2.18,0.14,0.41,62,SWI,申万三级行业,110.38,5278.20,4982.78,0.00,1.43,5.51亿,114.57亿,55.45,1826.97亿
