序号,代码,名称,最新价 2026.04.16,涨跌幅(%) 2026.04.16,超大单净额(元) 2026.04.16,市场码,市场名,指数小类,涨跌额(元) 2026.04.16,最高价(元) 2026.04.16,最低价(元) 2026.04.16,换手率(%) 2026.04.16,量比 2026.04.16,成交量(股) 2026.04.16,成交额 2026.04.16,市盈率(TTM) 2026.04.16,总市值(元) 2026.04.16
1,859951,电视广播Ⅲ(申万),1206.61,1.83,0,62,SWI,申万三级行业,21.74,1214.31,1182.40,0.00,0.98,3.99亿,27.67亿,72.11,1670.84亿
2,859852,培训教育(申万),600.15,1.93,0,62,SWI,申万三级行业,11.36,605.71,588.67,0.00,1.02,1.57亿,13.19亿,84.80,566.16亿
3,859822,品牌化妆品(申万),7364.32,0.51,0,62,SWI,申万三级行业,37.30,7378.40,7254.65,0.00,0.95,2904.00万,7.17亿,26.57,949.83亿
4,859821,化妆品制造及其他(申万),2920.59,0.98,0,62,SWI,申万三级行业,28.32,2940.40,2870.46,0.00,0.83,3143.00万,3.56亿,66.32,237.81亿
5,859811,生活用纸(申万),1442.06,1.77,0,62,SWI,申万三级行业,25.12,1450.82,1403.37,0.00,1.16,8080.00万,12.66亿,29.03,622.59亿
6,859721,环保设备Ⅲ(申万),2470.84,3.32,0,62,SWI,申万三级行业,79.29,2502.23,2371.84,0.00,0.95,5.15亿,76.92亿,52.32,1852.79亿
7,859714,综合环境治理(申万),1634.29,2.79,0,62,SWI,申万三级行业,44.30,1645.45,1571.85,0.00,1.09,3.26亿,19.57亿,65.76,704.45亿
8,859713,固废治理(申万),2519.36,1.16,0,62,SWI,申万三级行业,28.87,2552.62,2455.66,0.00,0.90,5.30亿,66.75亿,25.19,3563.59亿
9,859712,水务及水治理(申万),1475.14,1.15,0,62,SWI,申万三级行业,16.78,1482.16,1442.70,0.00,0.90,4.75亿,50.18亿,23.70,3080.15亿
10,859711,大气治理(申万),3302.57,2.89,0,62,SWI,申万三级行业,92.66,3335.70,3169.62,0.00,1.01,1.11亿,16.27亿,243.17,879.44亿
